features,classifiers,microf
syntax,NNkeras,0.645
syntax,NNscikit-learn,0.642
syntax,RandomForest,0.555
syntax,KNN,0.598
syntax,LogisticRegression,0.627
syntax,NaiveBayes,0.627
syntax,NNkeras,0.637
syntax,NNscikit-learn,0.627
syntax,RandomForest,0.569
syntax,KNN,0.598
syntax,LogisticRegression,0.627
syntax,NaiveBayes,0.627
syntax,NNkeras,0.637
syntax,NNscikit-learn,0.637
syntax,RandomForest,0.565
syntax,KNN,0.603
syntax,LogisticRegression,0.627
syntax,NaiveBayes,0.627
syntax,NNkeras,0.629
syntax,NNscikit-learn,0.633
syntax,RandomForest,0.571
syntax,KNN,0.597
syntax,LogisticRegression,0.627
syntax,NaiveBayes,0.627
syntax,NNkeras,0.627
syntax,NNscikit-learn,0.627
syntax,RandomForest,0.560
syntax,KNN,0.589
syntax,LogisticRegression,0.627
syntax,NaiveBayes,0.627
syntax,NNkeras,0.624
syntax,NNscikit-learn,0.627
syntax,RandomForest,0.557
syntax,KNN,0.600
syntax,LogisticRegression,0.626
syntax,NaiveBayes,0.626
syntax,NNkeras,0.639
syntax,NNscikit-learn,0.637
syntax,RandomForest,0.554
word2vec,KNN,0.760
word2vec,LogisticRegression,0.770
word2vec,NaiveBayes,0.724
word2vec,NNkeras,0.791
word2vec,NNscikit-learn,0.796
word2vec,RandomForest,0.754
word2vec,KNN,0.762
word2vec,LogisticRegression,0.771
word2vec,NaiveBayes,0.732
word2vec,NNkeras,0.786
word2vec,NNscikit-learn,0.795
word2vec,RandomForest,0.756
word2vec,KNN,0.782
word2vec,LogisticRegression,0.767
word2vec,NaiveBayes,0.731
word2vec,NNkeras,0.767
word2vec,NNscikit-learn,0.807
word2vec,RandomForest,0.767
word2vec,KNN,0.768
word2vec,LogisticRegression,0.779
word2vec,NaiveBayes,0.732
word2vec,NNkeras,0.803
word2vec,NNscikit-learn,0.818
word2vec,RandomForest,0.766
word2vec,KNN,0.764
word2vec,LogisticRegression,0.775
word2vec,NaiveBayes,0.721
word2vec,NNkeras,0.795
word2vec,NNscikit-learn,0.797
word2vec,RandomForest,0.744
word2vec,KNN,0.762
word2vec,LogisticRegression,0.761
word2vec,NaiveBayes,0.735
word2vec,NNkeras,0.787
word2vec,NNscikit-learn,0.796
word2vec,RandomForest,0.764
word2vec,KNN,0.775
word2vec,LogisticRegression,0.778
word2vec,NaiveBayes,0.726
word2vec,NNkeras,0.799
word2vec,NNscikit-learn,0.819
word2vec,RandomForest,0.760
word2vec,KNN,0.760
word2vec,LogisticRegression,0.763
word2vec,NaiveBayes,0.712
word2vec,NNkeras,0.789
word2vec,NNscikit-learn,0.789
word2vec,RandomForest,0.754
word2vec,KNN,0.761
word2vec,LogisticRegression,0.760
word2vec,NaiveBayes,0.728
word2vec,NNkeras,0.779
word2vec,NNscikit-learn,0.793
word2vec,RandomForest,0.746
word2vec,KNN,0.760
word2vec,LogisticRegression,0.766
word2vec,NaiveBayes,0.723
word2vec,NNkeras,0.785
word2vec,NNscikit-learn,0.791
word2vec,RandomForest,0.740
