features,classifiers,microf
ngrams,NNscikit-learn,0.397
ngrams,RandomForest,0.556
ngrams,KNN,0.593
ngrams,LogisticRegression,0.559
ngrams,NaiveBayes,0.350
ngrams,NNkeras,0.681
ngrams,NNscikit-learn,0.656
ngrams,RandomForest,0.477
ngrams,KNN,0.537
ngrams,LogisticRegression,0.382
ngrams,NaiveBayes,0.182
ngrams,NNkeras,0.681
ngrams,NNscikit-learn,0.678
ngrams,RandomForest,0.382
ngrams,KNN,0.497
ngrams,LogisticRegression,0.496
ngrams,NaiveBayes,0.224
ngrams,NNkeras,0.666
ngrams,NNscikit-learn,0.560
ngrams,RandomForest,0.349
ngrams,KNN,0.574
ngrams,LogisticRegression,0.681
ngrams,NaiveBayes,0.372
ngrams,NNkeras,0.681
ngrams,NNscikit-learn,0.265
ngrams,RandomForest,0.497
ngrams,KNN,0.625
ngrams,LogisticRegression,0.681
ngrams,NaiveBayes,0.269
ngrams,NNkeras,0.557
ngrams,NNscikit-learn,0.595
ngrams,RandomForest,0.548
ngrams,KNN,0.600
ngrams,LogisticRegression,0.674
ngrams,NaiveBayes,0.282
ngrams,NNkeras,0.617
ngrams,NNscikit-learn,0.353
ngrams,RandomForest,0.536
ngrams,KNN,0.603
ngrams,LogisticRegression,0.681
ngrams,NaiveBayes,0.327
ngrams,NNkeras,0.681
ngrams,NNscikit-learn,0.533
ngrams,RandomForest,0.547
ngrams,KNN,0.576
ngrams,LogisticRegression,0.621
ngrams,NaiveBayes,0.345
ngrams,NNkeras,0.598
ngrams,NNscikit-learn,0.520
ngrams,RandomForest,0.510
ngrams,KNN,0.549
ngrams,LogisticRegression,0.594
ngrams,NaiveBayes,0.278
ngrams,NNkeras,0.679
ngrams,NNscikit-learn,0.574
ngrams,RandomForest,0.503
sentiment,KNN,0.681
sentiment,LogisticRegression,0.681
sentiment,NaiveBayes,0.681
sentiment,NNkeras,0.681
sentiment,NNscikit-learn,0.681
sentiment,RandomForest,0.681
sentiment,KNN,0.461
sentiment,LogisticRegression,0.681
sentiment,NaiveBayes,0.681
sentiment,NNkeras,0.681
sentiment,NNscikit-learn,0.681
sentiment,RandomForest,0.681
sentiment,KNN,0.681
sentiment,LogisticRegression,0.681
sentiment,NaiveBayes,0.681
sentiment,NNkeras,0.681
sentiment,NNscikit-learn,0.681
sentiment,RandomForest,0.681
sentiment,KNN,0.682
sentiment,LogisticRegression,0.681
sentiment,NaiveBayes,0.681
sentiment,NNkeras,0.681
sentiment,NNscikit-learn,0.681
sentiment,RandomForest,0.681
sentiment,KNN,0.681
sentiment,LogisticRegression,0.681
sentiment,NaiveBayes,0.681
sentiment,NNkeras,0.681
sentiment,NNscikit-learn,0.681
sentiment,RandomForest,0.681
sentiment,KNN,0.681
sentiment,LogisticRegression,0.681
sentiment,NaiveBayes,0.681
sentiment,NNkeras,0.681
sentiment,NNscikit-learn,0.681
sentiment,RandomForest,0.681
sentiment,KNN,0.681
sentiment,LogisticRegression,0.681
sentiment,NaiveBayes,0.681
sentiment,NNkeras,0.681
sentiment,NNscikit-learn,0.681
sentiment,RandomForest,0.681
sentiment,KNN,0.681
sentiment,LogisticRegression,0.681
sentiment,NaiveBayes,0.681
sentiment,NNkeras,0.681
sentiment,NNscikit-learn,0.681
sentiment,RandomForest,0.681
sentiment,KNN,0.680
sentiment,LogisticRegression,0.681
sentiment,NaiveBayes,0.681
sentiment,NNkeras,0.681
sentiment,NNscikit-learn,0.681
sentiment,RandomForest,0.681
sentiment,KNN,0.679
sentiment,LogisticRegression,0.679
sentiment,NaiveBayes,0.679
sentiment,NNkeras,0.679
sentiment,NNscikit-learn,0.679
sentiment,RandomForest,0.679
spelling,KNN,0.642
spelling,LogisticRegression,0.681
spelling,NaiveBayes,0.681
spelling,NNkeras,0.681
spelling,NNscikit-learn,0.681
spelling,RandomForest,0.617
spelling,KNN,0.626
spelling,LogisticRegression,0.681
spelling,NaiveBayes,0.681
spelling,NNkeras,0.681
spelling,NNscikit-learn,0.681
spelling,RandomForest,0.626
spelling,KNN,0.637
spelling,LogisticRegression,0.681
spelling,NaiveBayes,0.681
spelling,NNkeras,0.681
spelling,NNscikit-learn,0.681
spelling,RandomForest,0.621
spelling,KNN,0.634
spelling,LogisticRegression,0.681
spelling,NaiveBayes,0.681
spelling,NNkeras,0.681
spelling,NNscikit-learn,0.681
spelling,RandomForest,0.617
spelling,KNN,0.647
spelling,LogisticRegression,0.681
spelling,NaiveBayes,0.681
spelling,NNkeras,0.681
spelling,NNscikit-learn,0.681
spelling,RandomForest,0.625
spelling,KNN,0.648
spelling,LogisticRegression,0.681
spelling,NaiveBayes,0.681
spelling,NNkeras,0.681
spelling,NNscikit-learn,0.681
spelling,RandomForest,0.619
spelling,KNN,0.636
spelling,LogisticRegression,0.681
spelling,NaiveBayes,0.681
spelling,NNkeras,0.681
spelling,NNscikit-learn,0.681
spelling,RandomForest,0.631
spelling,KNN,0.641
spelling,LogisticRegression,0.681
spelling,NaiveBayes,0.681
spelling,NNkeras,0.681
spelling,NNscikit-learn,0.681
spelling,RandomForest,0.634
spelling,KNN,0.638
spelling,LogisticRegression,0.681
spelling,NaiveBayes,0.681
spelling,NNkeras,0.681
spelling,NNscikit-learn,0.681
spelling,RandomForest,0.624
spelling,KNN,0.629
spelling,LogisticRegression,0.679
spelling,NaiveBayes,0.679
spelling,NNkeras,0.679
spelling,NNscikit-learn,0.679
spelling,RandomForest,0.613
syntax,KNN,0.649
syntax,LogisticRegression,0.681
syntax,NaiveBayes,0.680
syntax,NNkeras,0.681
syntax,NNscikit-learn,0.681
syntax,RandomForest,0.559
syntax,KNN,0.639
syntax,LogisticRegression,0.682
syntax,NaiveBayes,0.677
syntax,NNkeras,0.681
syntax,NNscikit-learn,0.681
syntax,RandomForest,0.556
syntax,KNN,0.661
syntax,LogisticRegression,0.680
syntax,NaiveBayes,0.683
syntax,NNkeras,0.681
syntax,NNscikit-learn,0.680
syntax,RandomForest,0.552
syntax,KNN,0.655
syntax,LogisticRegression,0.681
syntax,NaiveBayes,0.679
syntax,NNkeras,0.681
syntax,NNscikit-learn,0.681
syntax,RandomForest,0.530
syntax,KNN,0.647
syntax,LogisticRegression,0.681
syntax,NaiveBayes,0.678
syntax,NNkeras,0.681
syntax,NNscikit-learn,0.681
syntax,RandomForest,0.555
syntax,KNN,0.653
syntax,LogisticRegression,0.680
syntax,NaiveBayes,0.675
syntax,NNkeras,0.681
syntax,NNscikit-learn,0.680
syntax,RandomForest,0.549
syntax,KNN,0.649
syntax,LogisticRegression,0.681
syntax,NaiveBayes,0.683
syntax,NNkeras,0.681
syntax,NNscikit-learn,0.681
syntax,RandomForest,0.536
syntax,KNN,0.652
syntax,LogisticRegression,0.681
syntax,NaiveBayes,0.680
syntax,NNkeras,0.681
syntax,NNscikit-learn,0.681
syntax,RandomForest,0.550
syntax,KNN,0.641
syntax,LogisticRegression,0.682
syntax,NaiveBayes,0.680
syntax,NNkeras,0.681
syntax,NNscikit-learn,0.682
syntax,RandomForest,0.557
syntax,KNN,0.639
syntax,LogisticRegression,0.679
syntax,NaiveBayes,0.677
syntax,NNkeras,0.679
syntax,NNscikit-learn,0.679
syntax,RandomForest,0.549
word2vec,KNN,0.114
word2vec,LogisticRegression,0.103
word2vec,NaiveBayes,0.308
word2vec,NNkeras,0.104
word2vec,NNscikit-learn,0.090
word2vec,RandomForest,0.118
word2vec,KNN,0.755
word2vec,LogisticRegression,0.738
word2vec,NaiveBayes,0.491
word2vec,NNkeras,0.746
word2vec,NNscikit-learn,0.769
word2vec,RandomForest,0.711
word2vec,KNN,0.234
word2vec,LogisticRegression,0.234
word2vec,NaiveBayes,0.412
word2vec,NNkeras,0.226
word2vec,NNscikit-learn,0.239
word2vec,RandomForest,0.228
word2vec,KNN,0.751
word2vec,LogisticRegression,0.731
word2vec,NaiveBayes,0.482
word2vec,NNkeras,0.751
word2vec,NNscikit-learn,0.769
word2vec,RandomForest,0.733
word2vec,KNN,0.775
word2vec,LogisticRegression,0.753
word2vec,NaiveBayes,0.519
word2vec,NNkeras,0.778
word2vec,NNscikit-learn,0.785
word2vec,RandomForest,0.758
word2vec,KNN,0.097
word2vec,LogisticRegression,0.087
word2vec,NaiveBayes,0.294
word2vec,NNkeras,0.081
word2vec,NNscikit-learn,0.084
word2vec,RandomForest,0.096
word2vec,KNN,0.235
word2vec,LogisticRegression,0.225
word2vec,NaiveBayes,0.425
word2vec,NNkeras,0.234
word2vec,NNscikit-learn,0.214
word2vec,RandomForest,0.212
word2vec,KNN,0.163
word2vec,LogisticRegression,0.138
word2vec,NaiveBayes,0.285
word2vec,NNkeras,0.149
word2vec,NNscikit-learn,0.150
word2vec,RandomForest,0.157
word2vec,KNN,0.235
word2vec,LogisticRegression,0.220
word2vec,NaiveBayes,0.442
word2vec,NNkeras,0.259
word2vec,NNscikit-learn,0.237
word2vec,RandomForest,0.222
word2vec,KNN,0.175
word2vec,LogisticRegression,0.139
word2vec,NaiveBayes,0.282
word2vec,NNkeras,0.182
word2vec,NNscikit-learn,0.164
word2vec,RandomForest,0.168
